age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml
25-29,Female,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,5-10 years
55-59,Male,India,Masters,Product/Project Manager,50-249 employees,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",basic,< 1 years
22-24,Male,Egypt,Bachelors,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",basic,1-2 years
25-29,Male,India,Masters,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",intermediate,3-5 years
30-34,Male,India,Bachelors,Software Engineer,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,1-2 years
50-54,Male,Sweden,Masters,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,5-10 years
18-21,Female,Nigeria,Bachelors,Data Scientist,0-49 employees,No (we do not use ML methods),"2,000-2,999",basic,3-5 years
45-49,Male,United States of America,Masters,Data Analyst,"1000-9,999 employees",No (we do not use ML methods),"100,000-124,999",intermediate,10-20 years
30-34,Male,Canada,Bachelors,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",advance,10-20 years
25-29,Male,Norway,Masters,Data Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"50,000-59,999",intermediate,3-5 years
22-24,Male,Pakistan,Masters,Student,,,,advance,< 1 years
18-21,Male,Russia,Bachelors,Student,,,,advance,< 1 years
30-34,Male,Other,Masters,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",advance,< 1 years
18-21,Male,India,Bachelors,Student,,,,advance,I have never written code
25-29,Female,India,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999",intermediate,3-5 years
18-21,Male,India,Bachelors,Student,,,,basic,I have never written code
25-29,Male,Netherlands,Bachelors,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",advance,5-10 years
30-34,Male,United States of America,Masters,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"50,000-59,999",intermediate,3-5 years
35-39,Male,India,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,10-20 years
40-44,Male,Japan,Doctoral,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"5,000-7,499",advance,5-10 years
25-29,Male,Spain,Masters,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,3-5 years
45-49,Male,United States of America,Masters,Other,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,5-10 years
30-34,Male,South Africa,Masters,Software Engineer,250-999 employees,No (we do not use ML methods),"60,000-69,999",advance,5-10 years
50-54,Male,United States of America,Bachelors,Software Engineer,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,20+ years
30-34,Female,United States of America,Masters,Student,,,,advance,3-5 years
30-34,Female,United States of America,Bachelors,Data Analyst,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",intermediate,1-2 years
60-69,Male,United States of America,Doctoral,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",basic,1-2 years
30-34,Male,Czech Republic,Masters,Other,50-249 employees,No (we do not use ML methods),"10,000-14,999",basic,3-5 years
30-34,Male,Thailand,Masters,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",advance,3-5 years
30-34,Male,Taiwan,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",advance,5-10 years
25-29,Male,Netherlands,Doctoral,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",advance,5-10 years
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999",advance,10-20 years
18-21,Male,Nigeria,Masters,Student,,,,advance,1-2 years
22-24,Male,China,Masters,Student,,,,basic,1-2 years
30-34,Male,India,Bachelors,DBA/Database Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"100,000-124,999",basic,< 1 years
35-39,Male,South Korea,Masters,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"4,000-4,999",intermediate,5-10 years
18-21,Male,India,Coursework,Student,,,,advance,< 1 years
45-49,Male,Turkey,Doctoral,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),"50,000-59,999",advance,5-10 years
45-49,Male,United States of America,Masters,Research Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,10-20 years
40-44,Male,Indonesia,Bachelors,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,20+ years
22-24,Male,France,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years
45-49,Male,United States of America,Masters,Other,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"200,000-249,999",intermediate,3-5 years
25-29,Male,Israel,Doctoral,Student,,,,advance,3-5 years
25-29,Female,Morocco,Doctoral,Student,,,,advance,1-2 years
25-29,Female,Turkey,Bachelors,Data Analyst,250-999 employees,No (we do not use ML methods),"5,000-7,499",basic,< 1 years
22-24,Female,India,Masters,Other,"> 10,000 employees",I do not know,$0-999,basic,< 1 years
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,10-20 years
35-39,Male,Japan,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",advance,3-5 years
50-54,Male,Italy,Masters,Software Engineer,50-249 employees,No (we do not use ML methods),"40,000-49,999",advance,1-2 years
30-34,Male,Switzerland,Doctoral,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,5-10 years
18-21,Male,India,Bachelors,Student,,,,basic,< 1 years
40-44,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","> $500,000",advance,10-20 years
22-24,Male,India,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"4,000-4,999",basic,1-2 years
18-21,Male,India,Bachelors,Student,,,,advance,1-2 years
22-24,Female,Russia,Masters,Student,,,,advance,< 1 years
22-24,Male,United States of America,Masters,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,1-2 years
60-69,Male,United States of America,Masters,Other,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,1-2 years
22-24,Male,Pakistan,Bachelors,Student,,,,basic,3-5 years
30-34,Male,India,Doctoral,Data Analyst,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",intermediate,3-5 years
25-29,Male,Mexico,Masters,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,3-5 years
30-34,Male,Other,Masters,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"15,000-19,999",advance,3-5 years
30-34,Male,Italy,Doctoral,Research Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,5-10 years
35-39,Male,Other,Doctoral,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",intermediate,10-20 years
30-34,Male,South Africa,Coursework,Product/Project Manager,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,10-20 years
50-54,Male,Brazil,Masters,Statistician,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,20+ years
22-24,Female,Pakistan,Masters,Research Scientist,0-49 employees,I do not know,$0-999,advance,1-2 years
35-39,Male,Portugal,Masters,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",intermediate,5-10 years
30-34,Male,Germany,Doctoral,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",advance,5-10 years
25-29,Male,United States of America,Masters,Statistician,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",advance,5-10 years
60-69,Male,United States of America,Bachelors,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"90,000-99,999",basic,5-10 years
40-44,Male,Argentina,Masters,Business Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"25,000-29,999",intermediate,10-20 years
40-44,Female,United States of America,Coursework,Other,0-49 employees,No (we do not use ML methods),"100,000-124,999",basic,I have never written code
25-29,Male,Brazil,Bachelors,Product/Project Manager,0-49 employees,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",advance,< 1 years
